2025-09-20 02:57:03.271 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:03.274 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:03.274 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001426, 增益=10.00
2025-09-20 02:57:03.275 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0357, rms_amp=0.0143, mean_amp=0.0117, non_zero_ratio=0.993, zero_ratio=0.007
2025-09-20 02:57:03.277 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.035706 > 0.003
2025-09-20 02:57:03.277 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0357, rms_amp=0.0143, buffer_before=57344, buffer_after=61440, trimmed=False, processing_time=6.4ms
2025-09-20 02:57:03.282 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.014258, 时长=0.26s
2025-09-20 02:57:03.518 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:03.522 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:03.522 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.002014, 增益=10.00
2025-09-20 02:57:03.522 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0461, rms_amp=0.0201, mean_amp=0.0168, non_zero_ratio=0.996, zero_ratio=0.004
2025-09-20 02:57:03.525 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.046082 > 0.003
2025-09-20 02:57:03.525 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0461, rms_amp=0.0201, buffer_before=61440, buffer_after=65536, trimmed=False, processing_time=6.9ms
2025-09-20 02:57:03.530 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.020137, 时长=0.26s
2025-09-20 02:57:03.777 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:03.782 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:03.782 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001793, 增益=10.00
2025-09-20 02:57:03.782 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0446, rms_amp=0.0179, mean_amp=0.0148, non_zero_ratio=0.995, zero_ratio=0.005
2025-09-20 02:57:03.784 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.044556 > 0.003
2025-09-20 02:57:03.785 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0446, rms_amp=0.0179, buffer_before=65536, buffer_after=69632, trimmed=False, processing_time=7.3ms
